ad_id,car_id,user_id,title,date_post
1,41,75,Dijual Honda Civic transmisi Automatic tahun 2018,2022-07-25
2,46,6,Dijual Suzuki Ertiga transmisi Manual tahun 2015,2023-06-27
3,37,9,Dijual Honda CR-V transmisi Manual tahun 2017,2022-12-11
4,43,86,Dijual Honda Civic transmisi Automatic tahun 2013,2023-03-24
5,31,68,Dijual Honda Jazz transmisi Manual tahun 2018,2023-04-01
6,43,95,Dijual Honda Civic transmisi Automatic tahun 2013,2023-05-11
7,15,83,Dijual Toyota Calya transmisi Manual tahun 2016,2022-11-28
8,30,40,Dijual Daihatsu Xenia transmisi Manual tahun 2018,2023-06-02
9,18,70,Dijual Daihatsu Ayla transmisi Manual tahun 2015,2022-07-16
10,31,55,Dijual Honda Jazz transmisi Manual tahun 2018,2023-02-07
11,15,1,Dijual Toyota Calya transmisi Manual tahun 2016,2023-04-29
12,46,53,Dijual Suzuki Ertiga transmisi Manual tahun 2015,2022-10-14
13,8,6,Dijual Toyota Agya transmisi Automatic tahun 2016,2023-03-14
14,30,65,Dijual Daihatsu Xenia transmisi Manual tahun 2018,2022-09-10
15,10,73,Dijual Toyota Agya transmisi Automatic tahun 2017,2023-02-28
16,41,55,Dijual Honda Civic transmisi Automatic tahun 2018,2022-09-07
17,14,83,Dijual Toyota Calya transmisi Manual tahun 2016,2022-08-03
18,11,57,Dijual Toyota Calya transmisi Automatic tahun 2019,2023-06-19
19,48,57,Dijual Suzuki Ertiga transmisi Manual tahun 2016,2022-07-10
20,47,71,Dijual Suzuki Ertiga transmisi Manual tahun 2018,2022-10-18
21,34,11,Dijual Honda Jazz transmisi Manual tahun 2015,2022-09-13
22,29,99,Dijual Daihatsu Xenia transmisi Manual tahun 2014,2023-02-25
23,30,36,Dijual Daihatsu Xenia transmisi Manual tahun 2018,2023-02-20
24,34,95,Dijual Honda Jazz transmisi Manual tahun 2015,2022-10-15
25,19,87,Dijual Daihatsu Ayla transmisi Manual tahun 2017,2023-02-15
26,46,42,Dijual Suzuki Ertiga transmisi Manual tahun 2015,2022-11-22
27,29,20,Dijual Daihatsu Xenia transmisi Manual tahun 2014,2022-11-03
28,29,76,Dijual Daihatsu Xenia transmisi Manual tahun 2014,2022-12-31
29,41,99,Dijual Honda Civic transmisi Automatic tahun 2018,2023-05-31
30,24,70,Dijual Daihatsu Terios transmisi Automatic tahun 2017,2023-02-06
31,22,70,Dijual Daihatsu Terios transmisi Automatic tahun 2022,2022-10-15
32,6,64,Dijual Toyota Agya transmisi Automatic tahun 2019,2023-01-02
33,11,67,Dijual Toyota Calya transmisi Automatic tahun 2019,2022-07-11
34,14,65,Dijual Toyota Calya transmisi Manual tahun 2016,2022-07-10
35,23,78,Dijual Daihatsu Terios transmisi Automatic tahun 2019,2022-12-14
36,36,73,Dijual Honda CR-V transmisi Manual tahun 2018,2023-03-02
37,45,74,Dijual Honda Civic transmisi Manual tahun 2019,2022-07-12
38,35,70,Dijual Honda Jazz transmisi Manual tahun 2013,2022-09-17
39,32,86,Dijual Honda Jazz transmisi Manual tahun 2019,2023-06-12
40,28,36,Dijual Daihatsu Xenia transmisi Manual tahun 2017,2023-02-05
41,9,93,Dijual Toyota Agya transmisi Automatic tahun 2022,2022-07-12
42,21,23,Dijual Daihatsu Terios transmisi Automatic tahun 2018,2022-08-22
43,2,84,Dijual Toyota Yaris transmisi Automatic tahun 2018,2023-06-19
44,16,85,Dijual Daihatsu Ayla transmisi Manual tahun 2016,2023-02-06
45,11,81,Dijual Toyota Calya transmisi Automatic tahun 2019,2022-07-29
46,37,60,Dijual Honda CR-V transmisi Manual tahun 2017,2022-12-28
47,29,69,Dijual Daihatsu Xenia transmisi Manual tahun 2014,2023-06-06
48,33,98,Dijual Honda Jazz transmisi Manual tahun 2018,2022-09-30
49,20,27,Dijual Daihatsu Ayla transmisi Manual tahun 2017,2022-12-03
50,26,41,Dijual Daihatsu Xenia transmisi Manual tahun 2019,2023-04-06
51,20,95,Dijual Daihatsu Ayla transmisi Manual tahun 2017,2022-11-19
52,3,2,Dijual Toyota Yaris transmisi Automatic tahun 2014,2023-02-03
53,18,39,Dijual Daihatsu Ayla transmisi Manual tahun 2015,2022-09-26
54,3,38,Dijual Toyota Yaris transmisi Automatic tahun 2014,2022-10-08
55,39,63,Dijual Honda CR-V transmisi Automatic tahun 2016,2022-09-18
56,8,70,Dijual Toyota Agya transmisi Automatic tahun 2016,2023-05-28
57,41,4,Dijual Honda Civic transmisi Automatic tahun 2018,2022-08-18
58,49,11,Dijual Suzuki Ertiga transmisi Manual tahun 2012,2023-05-21
59,10,83,Dijual Toyota Agya transmisi Automatic tahun 2017,2022-12-22
